id,name,creator_name,author_name,book_name,puzzle_image,solution_image,notes
1,vowel_changes_1,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (1).JPG,vowel_changes_sol (1).JPG,puzzles with the images 1
2,vowel_changes_2,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (2).JPG,vowel_changes_sol (2).JPG,
3,vowel_changes_3,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (3).JPG,vowel_changes_sol (3).JPG,
4,vowel_changes_4,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (4).JPG,vowel_changes_sol (4).JPG,
5,vowel_changes_5,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (5).JPG,vowel_changes_sol (5).JPG,
6,vowel_changes_6,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (6).JPG,vowel_changes_sol (6).JPG,
7,vowel_changes_7,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (7).JPG,vowel_changes_sol (7).JPG,
8,vowel_changes_8,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (8).JPG,vowel_changes_sol (8).JPG,
9,vowel_changes_9,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (9).JPG,vowel_changes_sol (9).JPG,
10,vowel_changes_10,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (10).JPG,vowel_changes_sol (10).JPG,
11,vowel_changes_11,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (11).JPG,vowel_changes_sol (11).JPG,
12,vowel_changes_12,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (12).JPG,vowel_changes_sol (12).JPG,
13,vowel_changes_13,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (13).JPG,vowel_changes_sol (13).JPG,
14,vowel_changes_14,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (14).JPG,vowel_changes_sol (14).JPG,
15,vowel_changes_15,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (15).JPG,vowel_changes_sol (15).JPG,
16,vowel_changes_16,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (16).JPG,vowel_changes_sol (16).JPG,
17,vowel_changes_17,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (17).JPG,vowel_changes_sol (17).JPG,
18,vowel_changes_18,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (18).JPG,vowel_changes_sol (18).JPG,
19,vowel_changes_19,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (19).JPG,vowel_changes_sol (19).JPG,
20,vowel_changes_20,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (20).JPG,vowel_changes_sol (20).JPG,
21,vowel_changes_21,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (21).JPG,vowel_changes_sol (21).JPG,
22,vowel_changes_22,Vowel Changer,Siva Jasthi,English Vowel Changes,vowel_changes (22).JPG,vowel_changes_sol (22).JPG,
